"Ezhilan M., Suresh I., Nesakumar N.","56530831100;57218454909;55358367400;","SARS-CoV, MERS-CoV and SARS-CoV-2: A Diagnostic Challenge",2021,"Measurement: Journal of the International Measurement Confederation","168",, 108335,"","",,,"10.1016/j.measurement.2020.108335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089242034&doi=10.1016%2fj.measurement.2020.108335&partnerID=40&md5=7ae1b9038418d6a696df661c0fd7d195","The highly pathogenic MERS-CoV, SARS-CoV and SARS-CoV-2 cause acute respiratory syndrome and are often fatal. These new viruses pose major problems to global health in general and primarily to infection control and public health services. Accurate and selective assessment of MERS-CoV, SARS-CoV and SARS-CoV-2 would assist in the effective diagnosis of infected individual, offer clinical guidance and aid in assessing clinical outcomes. In this mini-review, we review the literature on various aspects, including the history and diversity of SARS-CoV-2, SARS-CoV and MERS-CoV, their detection methods in effective clinical diagnosis, clinical assessment of COVID-19, safety guidelines recommended by World Health Organization and legal regulations. This review article also deals with existing challenges and difficulties in the clinical diagnosis of SARS-CoV-2. Developing alternative diagnostic platforms by spotting the shortcomings of the existing point-of-care diagnostic devices would be useful in preventing future outbreaks. © 2020 Elsevier Ltd","Biosensors; MERS-CoV; Point-of-Care Diagnostics; SARS-CoV; SARS-CoV-2","Diagnosis; Viruses; Clinical assessments; Clinical diagnosis; Detection methods; Infection control; Point of care diagnostic; Public health services; Safety guidelines; World Health Organization; Laws and legislation",,"Meas J Int Meas Confed",Article,"Final",,Scopus,2-s2.0-85089242034
"Moulahoum H., Ghorbanizamani F., Zihnioglu F., Turhan K., Timur S.","57188963997;57199103659;6602258835;8429335700;6701638388;","How should diagnostic kits development adapt quickly in COVID 19-like pandemic models? Pros and cons of sensory platforms used in COVID-19 sensing",2021,"Talanta","222",, 121534,"","",,,"10.1016/j.talanta.2020.121534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089373920&doi=10.1016%2fj.talanta.2020.121534&partnerID=40&md5=dbc961bccf4b6087791cc09322f8e408","As COVID-19 has reached pandemic status and the number of cases continues to grow, widespread availability of diagnostic testing is critical in helping identify and control the emergence of this rapidly spreading and serious illness. However, a lacking in making a quick reaction to the threat and starting early development of diagnostic sensing tools has had an important impact globally. In this regard, here we will review critically the current developed diagnostic tools in response to the COVID-19 pandemic and compare the different types through the discussion of their pros and cons such as nucleic acid detection tests (including PCR and CRISPR), antibody and protein-based diagnosis tests. In addition, potential technologies that are under development such as on-site diagnosis platforms, lateral flow, and portable PCR units are discussed. Data collection and epidemiological analysis could also be an interesting factor to incorporate with the emerging technologies especially with the wide access to smartphones. Lastly, a SWOT analysis and perspectives on how the development of novel sensory platforms should be treated by the different decision-makers are analyzed. © 2020 Elsevier B.V.","COVID-19; Diagnostic kits; Response strategies; SARS-CoV-2; Sensors/biosensors","Chemical detection; Decision making; Polymerase chain reaction; Data collection; Decision makers; Diagnostic testing; Diagnostic tools; Emerging technologies; Nucleic acid detection; On-site diagnosis; Potential technologies; Sensory analysis",,"Talanta",Review,"Final",,Scopus,2-s2.0-85089373920
"Raval N.P., Kumar M.","56589839800;55456390100;","Geogenic arsenic removal through core–shell based functionalized nanoparticles: Groundwater in-situ treatment perspective in the post–COVID anthropocene",2021,"Journal of Hazardous Materials","402",, 123466,"","",,,"10.1016/j.jhazmat.2020.123466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088250549&doi=10.1016%2fj.jhazmat.2020.123466&partnerID=40&md5=59e02b35ec1d992244b2ed18d8b98e00","Groundwater, one of the significant potable water resources of the geological epoch is certainly contaminated with class I human carcinogenic metalloid of pnictogen family which delimiting its usability for human consumption. Hence, this study concerns with the elimination of arsenate (As(V)) from groundwater using bilayer–oleic coated iron–oxide nanoparticles (bilayer–OA@FeO NPs). The functionalized (with high–affinity carboxyl groups) adsorbent was characterized using the state–of–the–art techniques in order to understand the structural arrangement. The major emphasis was to examine the effects of pH (5.0–13), contact times (0–120 min), initial concentrations (10–150 μg L–1), adsorbent dosages (0.1–3 g L–1), and co–existing anions in order to understand the optimal experimental conditions for the effective removal process. The adsorbent had better adsorption efficiency (∼ 32.8 μg g–1, after 2 h) for As(V) at neutral pH. Adsorption process mainly followed pseudo–second–order kinetics and Freundlich isotherm models (R2∼0.90) and was facilitated by coulombic, charge–dipole and surface complexation interactions. The regeneration (upto five cycles with 0.1 M NaOH) and competition studies (with binary and cocktail mixture of co–anions) supported the potential field application of the proposed adsorbent. © 2020 Elsevier B.V.","Arsenic; Geogenic contaminant; In–situ remediation; Nanoparticle; Surface modification","Groundwater; Groundwater pollution; Groundwater resources; Iron oxides; Nanoparticles; Pollution control; Potable water; Sodium hydroxide; Adsorption efficiency; Freundlich isotherm model; Functionalized nanoparticles; Initial concentration; Optimal experimental conditions; Oxide nanoparticles; Structural arrangement; Surface complexation; Chemicals removal (water treatment); Anthropocene; arsenate; arsenic; carcinogen; complexation; groundwater; in situ measurement; isotherm; nanoparticle; pollutant removal; reaction kinetics; shell","32711382","J. Hazard. Mater.",Article,"Final",,Scopus,2-s2.0-85088250549
"Szcześniak D., Gładka A., Misiak B., Cyran A., Rymaszewska J.","23570164700;56561191100;24483318100;57218377287;6701750527;","The SARS-CoV-2 and mental health: From biological mechanisms to social consequences",2021,"Progress in Neuro-Psychopharmacology and Biological Psychiatry","104",, 110046,"","",,,"10.1016/j.pnpbp.2020.110046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088936787&doi=10.1016%2fj.pnpbp.2020.110046&partnerID=40&md5=eea115c72af5a0251dce94ef411c7d33","In December 2019, the first case of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2, COVID-19) infection was reported. In only few weeks it has caused a global pandemic, with mortality reaching 3.4%, mostly due to a severe pneumonia. However, the impact of SARS-CoV-2 virus on the central nervous system (CNS) and mental health outcomes remains unclear. Previous studies have demonstrated the presence of other types of coronaviruses in the brain, especially in the brainstem. There is evidence that the novel coronavirus can penetrate CNS through the olfactory or circulatory route as well as it can have an indirect impact on the brain by causing cytokine storm. There are also first reports of neurological signs in patients infected by the SARS-Cov-2. They show that COVID-19 patients have neurologic manifestations like acute cerebrovascular disease, conscious disturbance, taste and olfactory disturbances. In addition, there are studies showing that certain psychopathological symptoms might appear in infected patients, including those related to mood and psychotic disorders as well as post-traumatic stress disorder. Accumulating evidence also indicates that the pandemic might have a great impact on mental health from the global perspective, with medical workers being particularly vulnerable. In this article, we provide a review of studies investigating the impact of the SARS-CoV-2 on the CNS and mental health outcomes. We describe neurobiology of the virus, highlighting the relevance to mental disorders. Furthermore, this article summarizes the impact of the SARS-CoV-2 from the public health perspective. Finally, we present a critical appraisal of evidence and indicate future directions for studies in this field. © 2020 Elsevier Inc.",,,"32730915","Prog. Neuro-Psychopharmacol. Biol. Psychiatry",Review,"Final",Open Access,Scopus,2-s2.0-85088936787
"Fong S.J., Dey N., Chaki J.","57217728588;57217748550;56568428500;","An Introduction to COVID-19",2021,"SpringerBriefs in Applied Sciences and Technology",,,,"1","22",,,"10.1007/978-981-15-5936-5_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087548663&doi=10.1007%2f978-981-15-5936-5_1&partnerID=40&md5=f19ff73d43589bd954e358832d7415ec","A novel coronavirus (CoV) named ‘2019-nCoV’ or ‘2019 novel coronavirus’ or ‘COVID-19’ by the World Health Organization (WHO) is in charge of the current outbreak of pneumonia that began at the beginning of December 2019 near in Wuhan City, Hubei Province, China [1–4]. COVID-19 is a pathogenic virus. From the phylogenetic analysis carried out with obtainable full genome sequences, bats occur to be the COVID-19 virus reservoir, but the intermediate host(s) has not been detected till now. © 2021, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",,"Viruses; Coronaviruses; Genome sequences; Hubei Province; Pathogenic virus; Phylogenetic analysis; World Health Organization; Wuhan cities; Cobalt alloys",,"SpringerBriefs Appl. Sci. Technol.",Book Chapter,"Final",Open Access,Scopus,2-s2.0-85087548663
"Loey M., Manogaran G., Taha M.H.N., Khalifa N.E.M.","57191889140;57189873309;57209691888;57205754339;","A hybrid deep transfer learning model with machine learning methods for face mask detection in the era of the COVID-19 pandemic",2021,"Measurement: Journal of the International Measurement Confederation","167",, 108288,"","",,,"10.1016/j.measurement.2020.108288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088920455&doi=10.1016%2fj.measurement.2020.108288&partnerID=40&md5=1b720d165e503ad0268c7167493fa83f","The coronavirus COVID-19 pandemic is causing a global health crisis. One of the effective protection methods is wearing a face mask in public areas according to the World Health Organization (WHO). In this paper, a hybrid model using deep and classical machine learning for face mask detection will be presented. The proposed model consists of two components. The first component is designed for feature extraction using Resnet50. While the second component is designed for the classification process of face masks using decision trees, Support Vector Machine (SVM), and ensemble algorithm. Three face masked datasets have been selected for investigation. The Three datasets are the Real-World Masked Face Dataset (RMFD), the Simulated Masked Face Dataset (SMFD), and the Labeled Faces in the Wild (LFW). The SVM classifier achieved 99.64% testing accuracy in RMFD. In SMFD, it achieved 99.49%, while in LFW, it achieved 100% testing accuracy. © 2020 Elsevier Ltd","Classical machine learning; COVID-19; Deep transfer learning; Masked face","Decision trees; Face recognition; Learning systems; Support vector machines; Transfer learning; Trees (mathematics); Classification process; Ensemble algorithms; Labeled faces in the wilds (LFW); Machine learning methods; Protection methods; SVM classifiers; Testing accuracy; World Health Organization; Deep learning",,"Meas J Int Meas Confed",Article,"Final",Open Access,Scopus,2-s2.0-85088920455
"Chu B., Zhang S., Liu J., Ma Q., He H.","55181483900;57208308389;57196372030;24466813700;57215373873;","Significant concurrent decrease in PM2.5 and NO2 concentrations in China during COVID-19 epidemic",2021,"Journal of Environmental Sciences (China)","99",,,"346","353",,,"10.1016/j.jes.2020.06.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088539703&doi=10.1016%2fj.jes.2020.06.031&partnerID=40&md5=e2812ba36ae3cc3d008baf9a53d7bdc7","The strict control measures and social lockdowns initiated to combat COVID-19 epidemic have had a notable impact on air pollutant concentrations. According to observation data obtained from the China National Environmental Monitoring Center, compared to levels in 2019, the average concentration of NO2 in early 2020 during COVID-19 epidemic has decreased by 53%, 50%, and 30% in Wuhan city, Hubei Province (Wuhan excluded), and China (Hubei excluded), respectively. Simultaneously, PM2.5 concentration has decreased by 35%, 29%, and 19% in Wuhan, Hubei (Wuhan excluded), and China (Hubei excluded), respectively. Less significant declines have also been found for SO2 and CO concentrations. We also analyzed the temporal variation and spatial distribution of air pollutant concentrations in China during COVID-19 epidemic. The decreases in PM2.5 and NO2 concentrations showed relatively consistent temporal variation and spatial distribution. These results support control of NOx to further reduce PM2.5 pollution in China. The concurrent decrease in NOx and PM2.5 concentrations resulted in an increase of O3 concentrations across China during COVID-19 epidemic, indicating that coordinated control of other pollutants is needed. © 2020","Air quality; Coordinated control; Covid-19 epidemic; O3; PM2.5; Temporal variation and spatial distribution","Air pollution; Air pollution control; Concurrency control; Nitrogen oxides; Spatial distribution; Air pollutant concentrations; Average concentration; CO concentrations; Co-ordinated control; Environmental Monitoring; PM2.5 concentration; Pm2.5 pollutions; Temporal variation; Disease control; air quality; atmospheric pollution; concentration (composition); COVID-19; epidemic; nitrogen dioxide; particulate matter; pollution monitoring; spatial distribution; viral disease; China; Hubei; Wuhan",,"J. Environ. Sci.",Article,"Final",Open Access,Scopus,2-s2.0-85088539703
"Oleksy T., Wnuk A., Maison D., Łyś A.","55791634600;57007996900;6701328649;57205571316;","Content matters. Different predictors and social consequences of general and government-related conspiracy theories on COVID-19",2021,"Personality and Individual Differences","168",, 110289,"","",,,"10.1016/j.paid.2020.110289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088650998&doi=10.1016%2fj.paid.2020.110289&partnerID=40&md5=f84bae707f65866afac3971c8bac362a","In times of crisis, people are more prone to endorse conspiracy theories. Conspiracy thinking provides answers about the causes of an event, but it can also have harmful social consequences. Our research tested both the predictor and the consequences of two types of conspiracy beliefs related to the Covid-19 pandemic: (1) general conspiracy beliefs and (2) government-related conspiracy theories. In two studies in Poland (Ntotal = 2726), we found that a perceived lack of individual control predicted both types of conspiracy theories, while a sense of collective control was positively related to general conspiracy beliefs but negatively associated with government-related conspiracy theories. Moreover, general conspiracy theories were related to the acceptance of xenophobic policies and to a less favourable attitude towards outgroups whereas government-related conspiracy theories were not. Additionally, people who believed in conspiratorial governments less frequently indicated that they used prevention methods, such as social distancing and handwashing. Our research demonstrates the importance of considering the content of various conspiracy theories when studying their social effects and potential causes. Knowing which attitudes may be associated with the endorsement of specific conspiracy theories can contribute to counteracting their negative consequences during crises. © 2020 Elsevier Ltd","Conspiracy theories; Coronavirus; COVID-19; Health behaviour; Intergroup attitudes; Lack of control",,,"Pers. Individ. Differ.",Article,"Final",Open Access,Scopus,2-s2.0-85088650998
"Fong S.J., Dey N., Chaki J.","57217728588;57217748550;56568428500;","AI-Empowered Data Analytics for Coronavirus Epidemic Monitoring and Control",2021,"SpringerBriefs in Applied Sciences and Technology",,,,"47","71",,,"10.1007/978-981-15-5936-5_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087547077&doi=10.1007%2f978-981-15-5936-5_3&partnerID=40&md5=0b27bc1cff66a015d3aca49ccb6a61fd","Governments and authorities knew little about the virus since the emergency of COVID-19 outbreak. The Chinese government upon the discovery of the early patients in Wuhan, informed WHO on 31 December 2019, as pneumonia of unknown causes. Epidemiologists, data scientists and biostatisticians have been working hand-in-hand for a common mission of trying to characterize and understand the characteristics of the infection as well as the virus itself, which is SARS alike. © 2021, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",,"Disease control; Diseases; Viruses; Chinese Government; Coronaviruses; Hand in hands; Monitoring and control; Data Analytics",,"SpringerBriefs Appl. Sci. Technol.",Book Chapter,"Final",Open Access,Scopus,2-s2.0-85087547077
"Velasco R.B., Carpanese I., Interian R., Paulo Neto O.C.G., Ribeiro C.C.","57216945174;57216953698;57194441168;57216949358;7201736488;","A decision support system for fraud detection in public procurement",2021,"International Transactions in Operational Research","28","1",,"27","47",,,"10.1111/itor.12811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085471885&doi=10.1111%2fitor.12811&partnerID=40&md5=40cf8fda945be916df82825eaa3a7173","Over the past few years, investigators in Brazil have been uncovering numerous corruption and money laundering schemes at all levels of government and in the country's largest corporations. It is estimated that between 2% and 5% of the global GDP is lost annually because of such practices, not only directly impacting public services and private sector development but also strengthening organized crime. However, most law enforcement agencies do not have the capability to carry out systematic corruption risk assessment leveraging on the availability of data related to public procurement. The currently prevailing approach employed by Brazilian law enforcement agencies to detect companies involved in potential cases of fraud consists in receiving circumstantial evidence or complaints from whistleblowers. As a result, a large number of companies involved in fraud remain undetected and unprosecuted. The decision support system (DSS) described in this work addresses these existing limitations by providing a tool for systematic analysis of public procurement. It allows the law enforcement agencies to establish priorities concerning the companies to be investigated. This DSS incorporates data mining algorithms for quantifying dozens of corruption risk patterns for all public contractors inside a specific jurisdiction, leading to improvements in the quality of public spending and to the identification of more cases of fraud. These algorithms combine operations research tools such as graph theory, clusterization, and regression analysis with advanced data science methods to allow the identification of the main risk patterns, such as collusion between bidders, conflicts of interest (e.g., a politician who owns a company contracted by the same government body where he or she was elected), and companies owned by a potentially straw person used for disguising its real owner (e.g., beneficiaries of cash conditional transfer programs). The DSS has already led to a detailed analysis of large public procurement datasets, which add up to more than 50 billion dollars. Moreover, the DSS provided strategic inputs to investigations conducted by federal and state agencies. © 2020 The Authors. International Transactions in Operational Research © 2020 International Federation of Operational Research Societies","corruption risk assessment; COVID-19; data mining; data science; decision support system; fraud detection; public procurement; risk patterns","Artificial intelligence; Crime; Data mining; Graph algorithms; Graph theory; Large dataset; Operations research; Regression analysis; Risk assessment; Service industry; Conflicts of interest; Data mining algorithm; Decision support system (dss); Fraud detection; Law-enforcement agencies; Money laundering; Public procurement; Systematic analysis; Decision support systems",,"Int. Trans. Oper. Res.",Article,"Final",Open Access,Scopus,2-s2.0-85085471885
